id,from,to,subject,date,body
alice,admin@example.com,alice@orbis.net,환영합니다,2025-06-01,"""안녕하세요, Alice님. 이 메일은 테스트입니다."""
alice,hr@company.com,alice@orbis.net,회의 안내,2025-06-03,"""회의는 6월 10일 오후 3시에 시작됩니다."""
lowell,메디나 고르고네즈<gorgonez@orbis.net>,헤이즈 후크 로웰<lowell@orbis.net>,RE: 2분기 오르비스 비타 정기 이사회 안내,2025-07-04,"로웰 경,
승선 몇 시간 전에 갑작스럽지만 부탁해야 할 것이 있어요.
제가 모든 생선류에 알러지가 무척 심해졌거든요.
오늘 저녁의 코스 요리에 생선이 포함되어 있다면, 저는 다른 메뉴로 변경해 주시길 부탁합니다.
그럼 승선 시간에 뵙겠습니다.

------------ Original Message Information ------------
Subject: 2분기 오르비스 비타 정기 이사회 관련
Date : 2025-07-01
From: 헤이즈 로웰 후크<lowell@orbis.net>"
lowell,ann_onymous@geegle.com,헤이즈 후크 로웰<lowell@orbis.net>,RE: 2분기 오르비스 비타 정기 이사회 안내,2025-07-04,"갑작스럽지만 오늘 초대에는 참여할 수 없겠습니다.
양해를 바랍니다."
lowell,marco757@geegle.com,헤이즈 후크 로웰<lowell@orbis.net>,구조일정,2025-07-02,"이봐 후크, 이번에는 너무 빠듯하게 알려줘서 작업이 급했어.
우선은 준비된 머릿수대로만 먼저 보내도록 하지. 총 6명이고, 모두 15살이야.
더 준비할 수도 있었지만... 얼마 전에 의복 담당이 도망치는 바람에 일손이 딸려서 말이지. 이래서 Chapin 놈들은 믿으면 안되는 건데. 
아무튼 약속된 일정에 맞춰 구호선을 보내. 무사히 보내도록 하지."
lowell,모리스 예이츠<yates@orbis.net>,헤이즈 후크 로웰<lowell@orbis.net>,이사회 안건 관련,2025-07-02,"안녕하세요.
이번 이사회 주요 안건은 비서를 통해 잘 전달 받았습니다.

고르고네즈의 신약 개발은 최종 마무리 단계에 있는 것으로 알고 있으니, 별 문제가 없다면 원안대로 승인하는 것이 좋겠습니다. 
법적 리스크에 대해서는 크게 고민하지 말고 저에게 맡기시죠. 그걸 위해 그 저널리스트를 이번 이사회에 초청해달라고 부탁한 것이니까요.
다만 프라이드와 케인이 새로 발의한 프로젝트에 대해서는 강한 의구심이 드는군요. 재원은 한정되어 있는데, 우리 재단에게 있어서는 투자 대비 효율이 썩 좋을 것 같지 않습니다.

물론 로웰 경이 알아서 판단할 몫이지만, 지난 분기 이사회에서 난민선 1척을 추가 운용하자는 당신의 안건을 승인하는 데 가장 큰 힘을 싣은 것은 저라는 것을 기억하십시오. "
lowell,하비 테일러<taylor@orbis.net>,헤이즈 후크 로웰<lowell@orbis.net>,이번 STS 항해 관련 보고,2025-07-01,"선장님, 이번 STS 항해 관련 준비사항 보고드립니다.
모든 준비는 차질없이 진행되고 있습니다. 사리벨 항구에도 저희 쪽 인원이 대기할 예정입니다.
다만, 크루즈의 VSAT 오류 수리가 다소 지체되고 있습니다. 항해일까지 수리가 안 될 가능성이 높습니다. 
레이더와 VHF 교신 장치는 정상이므로 항해에 큰 문제는 없을 듯 합니다.
식재료는 프라이드 파워 쪽 담당자가 항해 당일 오전까지 항구로 가져온다고 합니다. 도착하는 대로 바로 선적하도록 하겠습니다.

- 일등항해사, 하비 테일러"
gorgonez,garrett@gorgolabs.com,메디나 고르고네즈<gorgonez@orbis.net>,RE: 검사 결과,2025-07-04,"고르고네즈 박사님, 새벽에 죄송합니다.
아직 정식 검사 결과지가 나오지 않았지만 급하시다기에 우선 메일을 따로 보내드립니다.
아까 유선상으로 물어보신 부분에 대해 무척 강한 양성 반응이 확인되었어요.
전체 검사 결과는 결과지가 나오는 대로 다시 보내드릴게요.

GORGOLABS 항체공학연구실
선임연구원 바바라 가렛 

------------ Original Message Information ------------
Subject: 검사 결과
Date : 2025-07-03
From: 메디나 고르고네즈<gorgonez@orbis.net>"
gorgonez,guest1234@geegle.com,메디나 고르고네즈<gorgonez@orbis.net>,(제목 없음),2025-07-03,"나에게는 폭로하고자 하는 결정적인 정보가 있습니다.
이 소식이 알려지면 온 세상이 분노할 것이고, 아마 당신들은 심각한 곤경에 처하게 될 것입니다.
장담합니다: 두 번의 기회는 없을 겁니다.

이 정보로 거래를 하고 싶습니다.
관심이 있다면, 내일 따로 만나서 이야기합시다."
gorgonez,모리스 예이츠<yates@orbis.net>,메디나 고르고네즈<gorgonez@orbis.net>,이사회 논의 준비,2025-07-02,"안녕하세요. 
이번 이사회의 주요 안건은 당신도 받아보았겠죠.

나는 당신의 이번 신약 개발 건이 우리 재단의 브랜드평판 제고에 큰 기여를 할 것이라 기대하고 있습니다. 다만 아직도 약물의 안전성에 대한 근거를 FDA에 제대로 제시하지 못해 최종 임상군 데이터를 수집하지 못하게 된 부분은 다소 우려되는군요. 

그럼에도 불구하고, 나는 이번 이사회에서 당신을 지지할 계획입니다. 물론 그만한 이유와 신뢰가 있기 때문입니다. 필요한 지원이 있다면 요청하세요. '우리'가 이 프로젝트를 완주할 수 있도록, 주어진 기회를 잘 활용하기를 바랍니다."
