id,from,to,subject,date,body
alice,alice@orbis.net,boss@example.com,초안 전달,2025-06-04,"프로젝트, 초안 전달드립니다."
lowell,헤이즈 후크 로웰<lowell@orbis.net>,marco757@geegle.com,RE: 구조일정,2025-07-02 PM 20:00,"마르코, 잘 알겠네. 우리야 뭐 준비된 머릿수만큼 싣고, 나르고, 내리면 그만이지.
이번은 확실히 저번보단 조금 적군. 
어쩔 수 없었네. 요즘 워낙 분위기가 뒤숭숭해서 말이야.
다음 번 난민선 일정은 좀 더 빨리 잡아보도록 노력하지. 
루이스에겐 연락하라고 전하겠네.

- 재단 이사장 헤이즈 후크 로웰

------------ Original Message Information ------------
Subject: 구조일정
Date : 2025-07-02 PM 18:00
From: marco757@geegle.com "
lowell,헤이즈 후크 로웰<lowell@orbis.net>,제이 오 케인<kane@orbis.net>,이사회 만찬 공연에 대하여,2025-07-01 PM 20:30,"나일세.
지난 번 말했지만, 이번 만찬에 준비할 자네의 공연 말인데.
가능한 화려하고 사운드가 크면서 웅장한 것으로 부탁하네. 내가 자네 작품의 큰 팬이라는 것 알고 있겠지?
만찬 시간 내내 틀어두면 무척 좋을 것 같은데. 어떻겠는가?

- 재단 이사장 헤이즈 후크 로웰"
lowell,헤이즈 후크 로웰<lowell@orbis.net>,하비 테일러<taylor@orbis.net>,RE: 이번 STS 항해 관련 보고,2025-07-01 PM 20:00,"고맙네. 모든 부분에서 문제 없이 처리하게. 항상 해 왔던 작업이니 큰 실수는 없겠지.
알아서 할 거라 믿지만 혹시 몰라 다시 말하겠네. 
만찬 시간이 끝날때까진 모든 신입들은 주방 보조와 갑판 서빙에만 배치하고, 베테랑들은 전원 작업에 전념해주게.
배에 손님이 많으니 각별히 주의를 기울여야 할 거야.
만찬 이후의 선원 구역 재배치는 일임하지.

- 재단 이사장 헤이즈 후크 로웰

------------ Original Message Information ------------
Subject: 이번 STS 항해 관련 보고
Date : 2025-07-01 PM 16:00
From: 하비 테일러<taylor@orbis.net>"
lowell,헤이즈 후크 로웰<lowell@orbis.net>,모리스 예이츠<yates@orbis.net>; 메디나 고르고네즈<gorgonez@orbis.net>; 제이 오 케인<kane@orbis.net>; 스칼렛 프라이드<pride@orbis.net>; ann_onymous@geegle.com,2분기 오르비스 비타 정기 이사회 안내,2025-06-28 PM 19:00,"안녕하십니까, 5명의 게스트 여러분.
일전 공지했던 바와 같이, 이번 2분기 정기 이사회는 제 전용 소형 크루즈에서 1박 2일로 진행하려고 합니다.
주요 안건은 다음과 같습니다:

1) 카오스 앤 카본 캠페인 프로젝트(가제) 지원 여부 - 제인 오 케인, 스칼렛 프라이드 발의
2) 고르고 랩스 신약개발 프로젝트 지원 지속 여부 - 메디나 고르고네즈 발의

크루즈는 오후 5시에 마이애미에서 출항 예정이며, 노을이 지는 아름다운 멕시코 만을 항해한 후 익일 오전 10시 사리벨에 도착합니다.
승선을 위해 오후 4시 50분까지 마이애미 항구, Crucodile 크루즈 라인의 전용 터미널로 와 주시기 바랍니다.
멋진 항해를 기대해도 좋습니다!

- 재단 이사장 헤이즈 후크 로웰"
lowell,헤이즈 후크 로웰<lowell@orbis.net>,하비 테일러<taylor@orbis.net>,RE: 항해 일정,2025-06-25 PM 23:00,"미안하네. 조금만 기다려주지 않겠나?
방법을 강구하고 있는 중이야. 조만간 기회를 만들 수 있을 것 같네.

- 재단 이사장 헤이즈 후크 로웰

------------ Original Message Information ------------
Subject: 항해 일정
Date : 2025-06-25 PM 21:00
From: 하비 테일러<taylor@orbis.net>"
gorgonez,메디나 고르고네즈<gorgonez@orbis.net>,헤이즈 후크 로웰<lowell@orbis.net>,RE: 2분기 오르비스 비타 정기 이사회 안내,2025-07-04 AM 11:00,"로웰 경,
승선 몇 시간 전에 갑작스럽지만 부탁해야 할 것이 있어요.
제가 모든 생선류에 알레르기가 무척 심하거든요.
오늘 저녁의 코스 요리에 생선이 포함되어 있다면, 저는 다른 메뉴로 변경해 주시길 부탁합니다.
그럼 승선 시간에 뵙겠습니다.

------------ Original Message Information ------------
Subject: 2분기 오르비스 비타 정기 이사회 관련
Date : 2025-06-28 PM 19:00
From: 헤이즈 로웰 후크<lowell@orbis.net>"
gorgonez,메디나 고르고네즈<gorgonez@orbis.net>,garrett@gorgolabs.com,검사 결과,2025-07-03 PM 23:30,"바바라, 급해서 거듭 메일 보내요.
아까 전화로 물어본 부분에 대한 결과만이라도 가급적 빨리 알려줘요."
gorgonez,메디나 고르고네즈<gorgonez@orbis.net>,모리스 예이츠<yates@orbis.net>,RE: 이사회 논의 준비,2025-07-02 PM 23:00,"예이츠, 
확실히 해 두겠는데, 그 부분에서 당신의 도움은 필요 없습니다. 
Toxovex-CR의 개발은 충분히 성공적이에요. 참가자를 구하는 데 어려움이 있다고 해서 임상을 건너뛰는 허술한 학자는 없겠죠.
생각하고 있는 방법이 있습니다. '우리'가 아닌, '제' 역량만으로 해결될 겁니다.

당신이 집중해야 하는 문제는 현재 제기된 소송을 끝내는 겁니다. 
저들이 말도 안되는 왜곡된 루머로 제 성과를 폄하하고 있는데, 그것이 사실이 아님에도 불구하고 소송이 너무 길어지고 있어요.
그 루머가 대체 어디서부터 시작된 것인지는, 글쎄요. 아마 저보다는 당신이 잘 알 것이라 생각하는데요. 아닌가요?

그러면, 이사회에서 뵙겠습니다.

------------ Original Message Information ------------
Subject: 이사회 논의 준비
Date : 2025-07-02 PM 21:00
From: 모리스 예이츠<yates@orbis.net>"
gorgonez,메디나 고르고네즈<gorgonez@orbis.net>,스칼렛 프라이드<pride@orbis.net>,저널리스트 오너머스 관련,2025-06-30 PM 21:00,"프라이드, 
당신이 며칠 전 했던 이야기가 정말 근거가 있는 것인지 궁금해요. 
그가 오너머스를 움직이고 있다는 건 단순한 당신의 추측인가요, 아니면 실제로 뭔가를 알고 있는 건가요?
지금 같은 상황에서는 아주 약간의 착각조차도 치명적일 수 있어서요.
알고 있는 한에서라도 말해주면 좋겠어요."
